epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,37466.9,1.0245,0.94042,1.34921,0.90895,0.75091,0.83766,0.59917,1.00569,0.62325,1.23601,0.0006016,0.0006016,0.0006016
102,37837.8,1.03122,0.94136,1.3686,0.90782,0.75267,0.83769,0.6006,1.00603,0.62255,1.23579,0.000597991,0.000597991,0.000597991
103,38208.7,1.0141,0.89586,1.35035,0.90312,0.75168,0.83674,0.59912,1.00781,0.62251,1.23653,0.00059436,0.00059436,0.00059436
104,38579,1.01425,0.89728,1.35306,0.90282,0.75355,0.8374,0.59977,1.00627,0.62264,1.23525,0.000590708,0.000590708,0.000590708
105,38949.6,1.02543,0.92521,1.34667,0.90028,0.75336,0.83747,0.60163,1.00569,0.62142,1.23524,0.000587036,0.000587036,0.000587036
106,39320.4,1.01175,0.90062,1.34491,0.90482,0.75166,0.83901,0.60178,1.00458,0.61958,1.2348,0.000583343,0.000583343,0.000583343
107,39691.3,1.00958,0.90366,1.34437,0.90547,0.75137,0.83969,0.60213,1.00419,0.61799,1.23478,0.000579631,0.000579631,0.000579631
108,40061.9,1.00809,0.89943,1.34403,0.90146,0.75494,0.84108,0.60378,1.00273,0.61784,1.23347,0.0005759,0.0005759,0.0005759
109,40432.5,1.01891,0.91396,1.34604,0.90246,0.75556,0.84174,0.60355,1.00203,0.61725,1.23263,0.000572149,0.000572149,0.000572149
110,40802.5,1.01349,0.89861,1.34695,0.90497,0.75431,0.84194,0.60597,1.00082,0.61598,1.23136,0.00056838,0.00056838,0.00056838
111,41173.1,1.00795,0.89123,1.3451,0.9029,0.75608,0.84245,0.60603,1.00099,0.61534,1.23133,0.000564593,0.000564593,0.000564593
112,41543.9,1.01801,0.92038,1.35363,0.90549,0.75515,0.84321,0.60586,1.00049,0.6156,1.23084,0.000560788,0.000560788,0.000560788
113,41914.1,1.00188,0.89243,1.33512,0.90533,0.75526,0.84292,0.60559,1.00029,0.61523,1.23037,0.000556966,0.000556966,0.000556966
114,42284.5,1.00941,0.89389,1.35017,0.90194,0.7579,0.84308,0.60565,0.99959,0.61438,1.22951,0.000553127,0.000553127,0.000553127
115,42655,1.0076,0.90871,1.34901,0.90135,0.75826,0.84316,0.60658,0.99921,0.61443,1.22882,0.000549272,0.000549272,0.000549272
116,43026,0.98602,0.88679,1.33952,0.89811,0.76089,0.8438,0.6066,0.99879,0.61405,1.22843,0.0005454,0.0005454,0.0005454
117,43396.7,0.9912,0.88633,1.33381,0.89721,0.75991,0.84344,0.6066,0.99833,0.61399,1.22772,0.000541513,0.000541513,0.000541513
118,43767.6,1.00813,0.89242,1.34045,0.89739,0.75938,0.8434,0.60655,0.99792,0.61334,1.22729,0.000537611,0.000537611,0.000537611
119,44138.6,1.0065,0.89814,1.34966,0.89698,0.75859,0.84357,0.60744,0.9982,0.61272,1.22713,0.000533694,0.000533694,0.000533694
120,44509.4,0.99871,0.88841,1.33573,0.89919,0.75962,0.84369,0.607,0.99847,0.61196,1.22726,0.000529763,0.000529763,0.000529763
121,44880.2,0.9913,0.89321,1.33833,0.89966,0.75956,0.84375,0.60708,0.99918,0.61174,1.22738,0.000525818,0.000525818,0.000525818
122,45250.7,0.98197,0.8791,1.32552,0.89918,0.76069,0.84402,0.60719,0.99822,0.61093,1.22647,0.000521859,0.000521859,0.000521859
123,45621.3,0.98649,0.89364,1.33471,0.89729,0.7601,0.84379,0.60737,0.99843,0.61065,1.22593,0.000517888,0.000517888,0.000517888
124,45991.6,0.9813,0.858,1.32334,0.89626,0.76232,0.84417,0.60822,0.99777,0.61016,1.22528,0.000513904,0.000513904,0.000513904
125,46362.1,0.98663,0.88227,1.32875,0.89621,0.76325,0.8448,0.60873,0.9975,0.61002,1.22473,0.000509907,0.000509907,0.000509907
126,46732.6,0.98271,0.87939,1.32724,0.8963,0.76376,0.84466,0.60874,0.99597,0.60939,1.22363,0.000505899,0.000505899,0.000505899
127,47103.3,0.98924,0.85734,1.3214,0.89927,0.76202,0.84488,0.60866,0.99491,0.6089,1.22256,0.00050188,0.00050188,0.00050188
128,47473.8,0.98613,0.87093,1.32842,0.89787,0.76205,0.8453,0.60808,0.99466,0.60859,1.22232,0.00049785,0.00049785,0.00049785
129,47844.1,0.97747,0.87095,1.3274,0.89762,0.76247,0.84523,0.60837,0.99414,0.60829,1.22186,0.00049381,0.00049381,0.00049381
130,48214.5,0.9759,0.84673,1.31777,0.89807,0.76243,0.84515,0.60911,0.9934,0.60769,1.22114,0.000489759,0.000489759,0.000489759
131,48585.4,0.99175,0.87635,1.33823,0.89802,0.76163,0.8452,0.60874,0.99272,0.60736,1.22053,0.000485699,0.000485699,0.000485699
132,48955.7,0.97313,0.85803,1.31623,0.89939,0.76119,0.8454,0.60852,0.99218,0.60654,1.22014,0.00048163,0.00048163,0.00048163
133,49326.3,0.96752,0.84867,1.31627,0.89949,0.76125,0.84515,0.60929,0.99148,0.60627,1.21946,0.000477553,0.000477553,0.000477553
